POET,POEM,VERSE,PART1,PART2,ERA,POEM_METER,VERSE_METER
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,12,تِلْكَ سَجَايَا مِنَ اللَّيَالِي,لِلْبُؤْسِ مَا يَخْلُقُ النَّعِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,13,بَيْنَ ضُلُوعِي هَوًى مُقِيمٌ,لِآلِ وَرْقَاءَ لَايَرِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,14,يُغَيِّرُ الدَّهْرُ كُلَّ شَيْءٍ,وَهْوَ صَحِيحٌ لَهُمْ سَلِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,15,أَمْنَعُ مَنْ رَامَهُ سِوَاهُمْ,مِنْهُ كَمَا تُمْنَعُ الحَرِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,16,وَهَلْ يُسَاوِيهِمُ قَرِيبٌ,أَمْ هَلْ يُدَانِيهِمُ حَمِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,17,وَنَحْنُ فِي عُصْبَةٍ وَأَهْلٍ,تَضُمُّ أَغْصَانَنَا أَرُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,18,لَمْ تَتَفَرَّقْ بِنَا خُؤُولٌ,فِي جَذْمِ عِزٍّ وَلَا عُمُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,19,سَمَتْ بِنَا وَائِلٌ وَفَازَتْ,بِالعِزِّ أَخْوَالُنَا تَمِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,20,وَدَادُهُمْ خَالِصٌ صَحِيحٌ,وَعَهْدُهُمْ ثَابِتٌ مُقِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,21,فَذَاكَ مِنْهُم بِنَا حَدِيثٌ,وَهْوَ لِآبًائِنَا قَدِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,22,نَرْعَاهُ مَا طُرِّقَتْ بِحَمْلٍ,أُنْثَى وَمَا أَطْفَلَتْ بَغُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,23,نُدْنِي بَنِي عَمِّنَا إِلَيْنَا,فَضْلًا كَمَا يَفْعَلُ الكَرِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,24,أَيْدٍ لَهُمْ عِنْدَ كُلِّ خَطْبٍ,يُثْنَى بِهَا الفَادِحُ الجَسِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,25,وَأَلْسُنٌ دُونَهُمْ حِدَادٌ,لُدٌّ إِذَا قَامَتِ الخُصُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,26,لَمْ تَنْأَ عَنَّا لَهُمْ قُلُوبٌ,وَإِنْ نَأَتْ مِنْهُمُ جُسُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,27,فَلَا عَدِمْنَا لَهُمْ ثَنَاءً,كَأَنَّهُ اللُؤْلُؤُ النَّظِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,28,لَقَدْ نَمَتْنَا لَهُمْ أُصُولٌ,مَا مَسَّ أَعْرَاقَهُنَّ لُومُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Allawmo Lil3aachiqin,29,تَبْقَى وَيَبْقَوْنَ فِي نَعِيمٍ,مَا بَقِيَ الرُّكْنُ وَالحَطِيمُ,Abbassi: VIIIth - XVIth,bassit_mokhlaa,bassit_mokhlaa
Abou Firas Al Hamadani,Liayyikomou athkoro,1,لِأَيِّكُمُ أَذْكُرُ,وَفِي أَيِّكُمْ أَفْكِرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,2,وَكَمْ لِي عَلَى بَلْدَةٍ,بُكَاءٌ وَمُسْتَعْبَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,3,فَفِي حَلَبٍ عُدَّتِي,وَعِزِّيَ وَالمَفْخَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,4,وَفِي مَنْبِجٍ مِنْ رِضَا,هُ أَنْفَسُ مَا أَذْخَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,5,وَمَنْ حُبُّهُ زُلْفَةٌ,بِهَا يُكْرَمُ المَحْشَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,6,وَأَصْبِيَةٌ كَالفِرَا,خِ أَكْبَرُهُمْ أَصْغَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,7,وَقَوْمٌ أَلِفْنَاهُمُ,وَغُصْنُ الصِّبَا أَخْضَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,8,يُخَيَّلُ لِي أَمْرُهُمْ,كَأَنَّهُمُ حُضَّرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,9,فَحُزْنِيَ لَا يَنْقَضِي,وَدَمْعِيَ مَا يَفْتُرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,10,وَمَا هَذِهِ أَدْمُعِي,وَلَا ذَا الَّذِي أُضْمِرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,11,وَلَكِنْ أُدَارِي الدُّمُو,عَ وَأَسْتُرُ مَا أَسْتُرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,12,مَخَافَةَ قَوْلِ الوُشَا,ةِ مِثْلُكَ لَا يَصْبِرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,13,أَيَا غَفْلَتَا كَيْفَ لَا,أُرَجِّي الَّذِي أَحْذَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,14,وَمَاذَا القُنُوطُ الَّذِي,أَرَاهُ فَأَسْتَشْعِرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,15,أَمَا مَنْ بَلَانِي بِهِ,عَلَى كَشْفِهِ أَقْدَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,16,بَلَى إِنَّ لِي سَيِّدًا,مَوَاهِبُهُ أَكْثَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,17,وَإِنِّي غَزِيرُ الذُّنُوبِ,وَإِحْسَانُهُ أَغْزَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Liayyikomou athkoro,18,بِذَنْبِيَ أَوْرَدْتَنِي,وَمِنْ فَضْلِكَ المَصْدَرُ,Abbassi: VIIIth - XVIth,motaqaarib_partial,motaqaarib_partial
Abou Firas Al Hamadani,Yaa Hasratan,1,يَا حَسْرَةً مَا أَكَادُ أَحْمِلُهَا,آخِرُهَا مُزْعِجٌ وَأَوَّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,2,عَلِيلَةٌ بِالشَّآمِ مُفْرَدَةٌ,بَاتَ بِأَيْدِي العِدَى مُعَلِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,3,تُمْسِكُ أَحْشَاءَهَا عَلَى حُرَقٍ,تُطْفِئُهَا وَالهُمُومُ تُشْعِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,4,إِذَا اطْمَأَنَّتْ وَأَيْنَ أَوْ هَدَأَتْ,عَنَّتْ لَهَا ذُكْرَةٌ تُقَلْقِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,5,تَسْأَلُ عَنَّا الرُّكْبَانَ جَاهِدَةً,بِأَدْمُعٍ مَاتَكَادُ تُمْهِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,6,يَامَنْ رَأَى لِي بِحِصْنِ خِرْشَنَةٍ,أُسْدَ شَرًى فِي القُيُودِ أَرْجُلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,7,يَامَنْ رَأَى لِي الدُّرُوبَ شَامِخَةً,دُونَ لِقَاءِ الحَبِيبِ أَطْوَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,8,يَامَنْ رَأَى لِي القُيُودَ مُوثَقَةٌ,عَلَى حَبِيبِ الفُؤَادِ أَثْقَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,9,يَا أَيُّهَا الرَّاكِبَانِ هَلْ لَكُمَا,فِي حَمْلِ نَجْوَى يَخِفُّ مَحْمَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,10,قَوْلًا لَهَا إِنْ وَعَتْ مَقَالَكُمَا,وَإِنَّ ذِكْرِي لَهَا لَيُذْهِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,11,يَا أُمَّتَا هَذِهِ مَنَازِلُنَا,نَتْرِكُهَا تَارَةً وَنَنْزِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,12,يَا أُمَّتَا هَذِهِ مَوَارِدُنَا,نَعُلُّهَا تَارَةً وَنُنْهِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,13,أَسْلَمَنَا قَوْمُنَا إِلَى نُوَبٍ,أَيْسَرُهَا فِي القُلُوبِ أَقْتَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,14,وَاسْتَبْدَلُوا بَعْدَنَا رِجَالَ وَغًى,يَوَدُّ أَدْنَى عُلَايَ أَمْثَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,15,لَيْسَتْ تَنَالُ القُيُودُ مِنْ قَدَمِي,وَفِي اتِّبَاعِي رِضَاكَ أَحْمِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,16,يَا سَيِّدًا مَا تُعَدُّ مَكْرُمَةٌ,إِلَّا وَفِي رَاحَتَيْهِ أَكْمَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,17,لَا تَتَيَمَّمْ وَالمَاءُ تُدْرِكُهُ,غَيْرُكَ يَرْضَى الصُّغْرَى وَيَقْبَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,18,إِنَّ بَنِي العَمِّ لَسْتَ تَخْلُفُهُمْ,إِنْ عَادَتِ الأُسْدُ عَادَ أَشْبُلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,19,أَنْتَ سَمَاءٌ وَنَحْنُ أَنْجُمُهَا,أَنْتَ بِلَادٌ وَنَحْنُ أَجْبُلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,20,أَنْتَ سَحَابٌ وَنَحْنُ وَابِلُهُ,أَنْتَ يَمِينٌ وَنَحْنُ أَنْمُلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,21,بِأَيِّ عُذْرٍ رَدَدْتَ وَالِهَةً,عَلَيْكَ دُونَ الوَرَى مُعَوَّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,22,جَاءَتْكَ تَمْتَاحُ رَدَّ وَاحِدِهَا,يَنْتَظِرُ النَّاسُ كَيْفَ تُقْفِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,23,سَمَحْتَ مِنِّي بِمُهْجَةٍ كَرُمَتْ,أَنْتَ عَلَى يَأْسِهَا مُؤَمَّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,24,إِنْ كُنْتَ لَمْ تَبْذِلِ الفِدَاءَ لَهَا,فَلَمْ أَزَلْ فِي رِضَاكَ أَبْذِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,25,تِلْكَ المَوَدَّاتُ كَيْفَ تُهْمِلُهَا,تِلْكَ المَوَاعِيدُ كَيْفَ تُغْفِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,26,تِلْكَ العُقُودُ الَّتِي عَقَدْتَ لَنَا,كَيْفَ وَقَدْ أُحْكِمَتْ تُحَلِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,27,أَرْحَامُنَا مِنْكَ لَمْ تُقَطِّعُهَا,وَلَمْ تَزَلْ دَائِبًا تُوَصِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,28,أَيْنَ المَعَالِي الَّتِي عُرِفْتَ بِهَا,تَقُولُهَا دَائِمًا وَتَفْعَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,29,يَا وَاسِعَ الدَّارِ كَيْفَ تُوسِعُهَا,وَنَحْنُ فِي صَخْرَةٍ نُزَلْزِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,30,يَا نَاعِمَ الثَّوْبِ كَيْفَ تُبْدِلُهُ,ثِيَابُنَا الصُّوفُ مَا نُبَدِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,31,يَا رَاكِبَ الخَيْلِ لَوْ بَصُرْتَ بِنَا,نَحْمِلُ أَقْيَادُنَا وَنَنْقُلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,32,رَأَيْتَ فِي الضُّرِّ أَوْجُهًا كَرُمَتْ,فَارَقَ فِيكَ الجَمَالَ أَجْمَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,33,قَدْ أَثَّرَ الدَّهْرُ فِي مَحَاسِنِهَا,تَعْرِفُهَا تَارَةً وَتَجْهَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,34,فَلَا تَكِلْنَا فِيهَا إِلَى أَحَدٍ,مُعِلُّهَا مُحْسِنًا يُعَلِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,35,لَا يَفْتَحُ النَّاسُ بَابَ مَكْرُمَةٍ,صَاحِبُهَا المُسْتَغَاثُ يُقْفِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,36,أَيَنْبَرِي دُونَكَ الكِرَامُ لَهَا,وَأَنْتَ قَمْقَامُهَا وَأَحْمَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,37,وَأَنْتَ إِنْ عَنَّ حَادِثٌ جَلَلٌ,قُلَّبُهَا المُرْتَجَى وَحُوَّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,38,مِنْكَ تَرَدَّى بِالفَضْلِ أَفْضَلُهَا,مِنْكَ أَفَادَ النَّوَالَ أَنْوَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,39,فَإِنْ سَأَلْنَا سِوَاكَ عَارِفَةً,فَبَعْدَ قَطْعِ الرَّجَاءِ نَسْأَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,40,إِذَا رَأَيْنَا أُولَى الكِرَامِ بِهَا,يُضِيعُهَا جَاهِدًا وَيُهْمِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,41,لَمْ يَبْقَ فِي النَّاسِ أُمَّةٌ عُرِفَتْ,إِلَّا وَفَضْلُ الأَمِيرِ يَشْمَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,42,نَحْنُ أَحَقُّ الوَرَى بِرَأْفَتِهِ,فَأَيْنَ عَنَّا وَأَيْنَ مَعْدِلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,43,يَا مُنْفِقَ المَالِ لَا يُرِيدُ بِهِ,إِلَّا المَعَالِي الَّتِي يُؤَثِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,44,أَصْبَحْتَ تَشْرِي مَكَارِمًا فُضُلًا,فِدَاؤُنَا قَدْ عَلِمْتَ أَفْضَلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Firas Al Hamadani,Yaa Hasratan,45,لَا يَقْبَلُ اللَّهُ قَبْلَ فَرْضِكَ ذَا,نَافِلَةً عِنْدَهُو تُنَفِّلُهَا,Abbassi: VIIIth - XVIth,monsarih_complete,monsarih_complete
Abou Nawas,Hamilo Al Hawa,1,حَامِلُ الهَوَى تَعِبٌ,يَسْتَخِفُّهُ الطَّرَبُ,Abbassi: VIIIth - XVIth,moqtadab_complete,moqtadab_complete
Abou Nawas,Hamilo Al Hawa,2,إِنْ بَكَى يُحَقُّ لَهُ,لَيْسَ مَا بِهِ لَعِبُ,Abbassi: VIIIth - XVIth,moqtadab_complete,moqtadab_complete
Abou Nawas,Hamilo Al Hawa,3,تَضْحَكِينَ لَاهِيَةً,وَالمُحِبُّ يَنْتَحِبُ,Abbassi: VIIIth - XVIth,moqtadab_complete,moqtadab_complete
Abou Nawas,Hamilo Al Hawa,4,تَعْجَبِينَ مِنْ سَقَمِي,صِحَّتِي هِيَ العَجَبُ,Abbassi: VIIIth - XVIth,moqtadab_complete,moqtadab_complete
Abou Nawas,Hamilo Al Hawa,5,كُلَّمَا انْقَضَى سَبَبٌ,مِنْكِ عَادَ لِي سَبَبُ,Abbassi: VIIIth - XVIth,moqtadab_complete,moqtadab_complete
Abou Nawas,Ilaahana,1,إِلَاهَنَا مَا أَعْدَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,2,مَلِيكَ كُلُّ مَنْ مَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,3,لَبَّيْكَ قَدْ لَبَّيْتُ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,4,لَبَّيْكَ إِنَّ الحَمْدَ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,5,وَالمُلْكُ لَا شَرِيكَ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,6,وَاللَّيْلُ لَمَّا أَنْ حَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,7,وَالسَّابِحَاتُ فِي الفَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,8,عَلَى مَجَارِي المُنْسَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,9,مَا خَابَ عَبْدٌ أَمَّلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,10,أَنْتَ لَهُو حَيْثُ سَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,11,لَوْلَاكَ يَا رَبُّ هَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,12,كُلُّ نَبِيٍّ وَمَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,13,وَكُلُّ مَنْ أَهَلَّ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,14,سَبَّحَ أَوْ لَبَّى فَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,15,يَا مُخْطِئًا مَا أَغْفَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,16,عَجِّلْ وَبَادِرْ أَجَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,17,وَاخْتِمْ بِخَيْرٍ عَمَلَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,18,لَبَّيْكَ إِنَّ المُلْكَ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,19,وَالحَمْدَ وَالنِّعْمَةَ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Ilaahana,20,وَالعِزَّ لَا شَرِيكَ لَكْ,,Abbassi: VIIIth - XVIth,rajaz_manhouk,rajaz_manhouk
Abou Nawas,Lama Tajalla,1,لَمَّا تَجَلَّى اللَّيْلُ وَابْيَضَّ الأُفُقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,2,وَانْجَابَ سِتْرُ اللَّيْلِ عَنْ وَجْهِ الطُّرُقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,3,بَاكَرَنِي سَهْلُ المُحَيَّا وَالخُلُقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,4,نَدْبٌ إِذَا اسْتَنْدَبْتَهُو شَهْمٌ لَبِقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,5,يَدْعُو إِلَا الصَّيْدِ أَلَا قُلْتَ انْطَلِقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,6,بِأَكْلُبٍ غُضْفٍ صَحِيحَاتِ الحَدَقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,7,مِنْ أَصْفَرِ اللَّوْنِ وَمَبْيَضٍّ يَقَقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,8,كَأَنَّمَا أُذْنَاهُ مِنْ بَعْضِ المَزَقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,Lama Tajalla,9,لَوْ يُلْصَقُ الخَدُّو بِأُذْنِنْ لَالْتَصَقْ,,Abbassi: VIIIth - XVIth,rajaz_machtour,rajaz_machtour
Abou Nawas,3azzou Akhillaya Qalbi,1,عَزُّوا أَخِلَّايَ قَلْبِي,فَقَدْ أُصِبْتُ بِلُبِّي,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
Abou Nawas,3azzou Akhillaya Qalbi,2,الحَمْدُ لِلَّهِ رَبِّي,مَاذَا لَقَيْتُ فَحَسْبِي,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
Abou Nawas,3azzou Akhillaya Qalbi,3,مَا لِي عَلَى الحُبِّ عَتْبٌ,أَنَّا وَقَعْتُ بِذَنْبِي,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
Abou Nawas,3azzou Akhillaya Qalbi,4,لَقَدْ دَعَانِي وَصَحْبِي,فَجِئْتُ مِنْ بَيْنِ صَحْبِي,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
Abou Nawas,3azzou Akhillaya Qalbi,5,يَا حِبُّ مَلَّكْتَ رِقِّي,مَنْ لَا يُسَرُّ بِقُرْبِي,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
Abou Nawas,3azzou Akhillaya Qalbi,6,وَمَنْ يُعَذِّبُ رُوحِي,بِكُلِّ نَوْعٍ وَضَرْبِ,Abbassi: VIIIth - XVIth,mojtath_complete,mojtath_complete
